"",151,153,155,159,162,163,183,189,193,368,650,1567,1502,1549,1564,587
151,0,2,2,1,2,2,2,0,1,2,2,1,0,0,0,0
153,2,0,2,2,2,2,2,0,1,2,2,1,0,0,0,0
155,2,2,0,0,3,3,2,1,1,2,0,1,0,0,0,0
159,1,2,0,0,0,1,1,0,0,1,0,0,0,1,1,0
162,2,2,3,0,0,3,2,0,0,1,0,0,0,0,1,0
163,2,2,3,1,3,0,2,0,0,1,0,0,0,1,2,0
183,2,2,2,1,2,2,0,0,0,1,0,0,0,1,1,0
189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0
368,2,2,2,1,1,1,1,0,0,0,2,0,0,1,1,0
650,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1567,1,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0
1502,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
1549,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
1564,0,0,0,1,1,2,1,0,0,1,0,0,0,1,0,0
587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
